google.fr,216.58.208.227
Google.com,173.194.67.102
Facebook.com,173.252.120.6
Youtube.com,216.58.211.110
Wikipedia.org,91.198.174.192
Yahoo.com,98.138.253.109
Leboncoin.fr,193.164.196.17
Amazon.fr,178.236.6.242
Live.com,65.55.206.154
Orange.fr,81.52.142.217
twitter.com,185.45.5.43
Linkedin.com,199.101.163.129
Free.fr,212.27.48.10
Lemonde.fr,93.184.220.20
Lefigaro.fr,212.95.67.222
Ebay.fr,66.135.211.132
Commentcamarche.net,91.209.35.126
Lequipe.fr,160.92.108.178
t.co,199.16.156.75
Allocine.fr,62.39.143.23
Cdiscount.com,217.109.56.160
Wordpress.com,192.0.78.9
Jeuxvideo.com,193.36.45.148
Nouvelobs.com,37.110.197.226
Meteofrance.com,160.92.178.69
Pagesjaunes.fr,193.252.242.125
Tumblr.com,66.6.41.30
Dailymotion.com,195.8.215.137
Adcash.com,67.227.226.196
Sfr.fr,80.125.163.172
Viadeo.com,216.74.38.230
Instagram.com,54.209.197.196
Linternaute.com,195.248.250.94
Ovh.com,213.186.33.34
pinterest.com,23.235.33.84
Msn.com,23.101.196.141
Voyages-sncf.com,90.80.158.144
Over-blog.com,195.20.13.121
Stackoverflow.com,198.252.206.16
Paypal.com,66.211.169.66
Priceminister.com,212.23.167.56
Societe.com,158.255.66.37
20minutes.fr,95.131.137.163
Apple.com,17.172.224.47
Pole-emploi.fr,109.26.209.20
Leparisien.fr,95.131.142.225
Fnac.com,195.42.251.40
Lexpress.fr,95.131.136.80
Bing.com,204.79.197.200
Tf1.fr,193.169.66.26
Microsoft.com,134.170.188.221
Deezer.com,78.40.123.183
Booking.com,5.57.16.220
Journaldunet.com,195.248.250.94
Reverso.net,89.107.171.183
Credit-agricole.fr,158.191.172.47
Outbrain.com,74.217.148.111
Boursorama.com,83.231.216.161
Amazon.com,205.251.242.103
Labanquepostale.fr,83.206.67.137
Vente-privee.com,185.45.180.3
Seloger.com,217.151.2.4
Ovh.net,213.186.33.6
Imgur.com,185.31.19.193
Colissimo.fr,213.41.95.191
Wordpress.org,66.155.40.249
Bfmtv.com,176.31.6.195
Clubic.com,141.138.91.59
Tripadvisor.fr,199.102.233.33
Laposte.net,94.124.134.53
Rueducommerce.fr,178.251.205.141
Liberation.fr,85.118.46.182
01net.com,176.31.6.199
Lepoint.fr,212.95.70.230
Doctissimo.fr,85.116.34.4
Aliexpress.com,205.204.96.1
Bnpparibas.net,159.50.15.34
Vimeo.com,104.156.81.217
Openclassrooms.com,162.159.246.194
Ask.com,66.235.120.127
